Address,Price,Beds,Baths,Space
"337 Rumsey Rd, Toronto, Ontario M4G1R6","$1,950,000 CAD",4 BedsBds,3 BathsBa,
"59 BRIARGLEN CRT E, Toronto, Ontario M1W3Z8","$999,000 CAD",4 BedsBds,4 BathsBa,
"15 MURMOUTH RD, Toronto, Ontario M1T2P9","$869,999 CAD",4 BedsBds,2 BathsBa,
"2320 Gerrard St E 112, Toronto, Ontario M4E2E1","$619,000 CAD",2 BedsBds,2 BathsBa,
"4060 Lawrence Ave E 112, Toronto, Ontario M1E4V4","$330,000 CAD",3 BedsBds,2 BathsBa,
"112 BORDEN ST, Toronto, Ontario M5S2N1","$2,249,000 CAD",6 BedsBds,3 BathsBa,
"215 SHERWAY GARDENS RD 2708, Toronto, Ontario M9C0A4","$579,900 CAD",2 BedsBds,1 BathBa,
"77 De Grassi St, Toronto, Ontario M4M2K5","$1,200,000 CAD",3 BedsBds,2 BathsBa,
"189 Wanless Ave, Toronto, Ontario M4N 1W4","$1,825,000 CAD",4 BedsBds,2 BathsBa,
"33 Kent Rd, Toronto, Ontario","$1,199,900 CAD",4 BedsBds,2 BathsBa,
"105 GEORGE ST Lph10, Toronto, Ontario M5A2N4","$539,900 CAD",1 BedBd,1 BathBa,
"300 MILL RD Ph26, Toronto, Ontario M9C4W7","$677,900 CAD",2 BedsBds,2 BathsBa,
"22 Evansville Rd, Toronto, Ontario M1V1L5","$769,000 CAD",5 BedsBds,3 BathsBa,
"75 EDWARD HORTON CRES, Toronto, Ontario M8Z0E7","$1,099,000 CAD",4 BedsBds,3 BathsBa,
"551 Donlands Ave, Toronto, Ontario M4J3S4","$888,888 CAD",3 BedsBds,3 BathsBa,
"42 Ockwell Manor Dr, Toronto, Ontario M1V3H1","$1,390,000 CAD",6 BedsBds,5 BathsBa,
"88 SHEPPARD AVE E 708, Toronto, Ontario M2N6Y2","$788,800 CAD",2 BedsBds,2 BathsBa,
"51 Bellefontaine St, Toronto, Ontario M1S1J6","$999,000 CAD",3 BedsBds,2 BathsBa,
"165 Lawson Rd, Toronto, Ontario M1C2J5","$1,299,900 CAD",4 BedsBds,5 BathsBa,
"227 TORBARRIE RD, Toronto, Ontario M3L0E2","$799,000 CAD",3 BedsBds,4 BathsBa,
"76 SHUTER ST 209, Toronto, Ontario M5B1B4","$639,000 CAD",2 BedsBds,1 BathBa,
"441 MILITARY TR 62, Toronto, Ontario M1E4E8","$675,000 CAD",4 BedsBds,2 BathsBa,
